Account ID,Account Name,Segment,Package,CSM,Interview Date,Active today,Amenity gap detector,Calendar conflict detector,Check-in readiness,Commitment keeper,Daily task coverage board,Inquiry expiry manager,Maintenance tracker,Reservation duplicate detector,Reservation handoff brief,Reservation readiness surfacer,Review to task dispatcher,Risky reservation detector,Stay status reconciler,Team access review,Translation gap filler,Weekly Operation Brief,Negative review challenger,Review response drafter,Saved replies optimizer,Checkout balance collection,Fee configuration detector,Security deposit extender,Tax Configuration Audit,Unpaid reservation tracker,Advance deposit checker,Monthly cancelled reservations,Owner payment details collector,Airbnb quality detector,# Active
Accounts activated (of 177),,,,,,,76,78,53,84,41,64,43,46,44,4,49,90,28,33,49,75,110,87,70,6,44,23,40,86,35,44,26,23,1451
667045cceba67e5ba8a581db,CoolBnBs,Mid-Market,pro,,,true,V,,,OFF,,V,,,,,,V,,,,V,V,V,,,,,V,,,,,,7
6797aaf008ad1c127b6c4a3f,BozemanBnB,Mid-Market,pro,,,true,,V,V,,,,,,,,,,,,,,V,,,,,,,V,,,,,4
67c97d3940e1ed4a6dae295e,Tatiana Filipa Gonçalves Silva Unipessoal Lda,SMB,pro,,,true,V,,,,,,,,,,,V,,,,,,,,,V,,,V,V,V,,,6
679c2d7ff6fab777ee05be5d,PMI Realty Management NW,Mid-Market,pro,,,true,,V,,,,V,,V,,,,V,V,,,V,V,,V,,V,,,V,V,V,,,12
6760b6a132d244f081e68774,PMI Southeast CT,Mid-Market,pro,,,true,V,,,,,,,,V,,,,,,,,,,,,,,,V,,V,,,4
6566138da6aaa15054eb403a,Aval Property Experience LLC,SMB,pro,,,true,,,V,V,V,V,,,,,V,,V,,V,V,V,V,V,,V,,V,V,V,V,OFF,,16
605dc8bcc124b6002cbc9e89,Liiiving,Mid-Market,pro,,,true,V,V,,,,V,,V,,,,,,,V,V,V,,,,,,,,,,,,7
675c9a27fbdf9f70c0e7d1bd,PMI Blue Ridge,Mid-Market,pro,,,true,,,V,V,,,,,,,,,,,,,V,V,,,V,,,,,,,,5
693ad7571efcceb4712e31bc,Homebelike Inc,Mid-Market,pro,,,true,V,,,,,,,,,,,,,,,,V,V,V,,,,,,,,,,4
66437bd7edfdf84f83ebd3ef,Franklin Suites South Beach,Mid-Market,pro,,,true,,,,V,,,,,V,,,,,,,,,,,,V,,,,,,,,3
64d67002752b5efdc3216c49,Beach Weekend,SME,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,V,V,,V,,,3
67fd56ef56bac59fb2d49fe0,Dorsen Stay,Mid-Market,pro,,,true,,V,V,,,,,,,,,V,,,,,V,V,V,,,,,V,,,,,7
68d6e9bc455d7fda436118d3,BUHO Property,SMB,pro,,,true,V,V,OFF,V,V,,,V,,,V,V,V,V,V,V,V,V,,,V,,,V,,V,,,16
67ab756274bbea4a11fa70fd,PMI Home Team,SMB,pro,,,true,,V,,,,,,,,,,,,,,,V,,,,V,V,V,V,V,V,,,8
671facea217e6427c3ae8e62,KRG Vacation Rentals,Mid-Market,pro,,,true,,V,V,,,V,,,,,,,,,,,,,,,,,,,,,,,3
697a2cee97c71aa6720b0d44,Mountain Laurel Chalets,Mid-Market,pro,,,true,V,,,V,V,,,,V,,,,,,,,,,,,,,,,,,,V,5
6a01de4424db941f82ec00fd,Vit Vosecek,Mid-Market,pro,,,true,V,V,,V,,V,V,,,,V,V,V,,,,V,V,V,,V,,,,,,,,12
67f3e2c2c3c7926782f6fd63,Miami Vacation Rentals,SME,pro,,,true,,V,,,,V,,V,,,,V,,,,,V,,,,,,,V,,,,,6
5e86008f3b57e50029c6f7a3,COASTAWAYS,Mid-Market,pro,,,true,V,V,V,,,V,,V,V,,V,V,,V,V,V,V,V,V,,V,V,,V,V,V,,,19
6847199ce163651ced70b388,PMI Southwest Florida,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,V,V,V,,,V,,,,V,,,,5
5dc4724781b892001fd17fdc,Cyclinn,SME,pro,,,true,,V,,,,,,V,,,,,,,,,,V,,,,,,,,,,,3
68af6c6fc3307ffd38a1c2b6,Stay Hospitality,SME,pro,,,true,V,V,V,V,,V,,,,,,V,,,,V,V,,,,V,V,,,V,,,,11
665046f77fe2c5eeeb5cac66,Unik Vacation,Mid-Market,pro,,,true,V,,,V,,,,,,,,,,,,,,,,,,,,,,,,,2
6894940b8fa2976c485f6a7b,ACP Property Management,SMB,pro,,,true,,V,,V,,V,,V,V,,,V,,,V,V,V,V,,,,,,,,V,,,11
597212412663471000e369d3,Wehost,SME,pro,,,true,V,,,,,,,,,,,,,,,,V,,V,,,,,,,,,,3
66c2bf6f3115bbdac808a289,Banyan Living,SME,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,1
6a0a95e47039d420d3367e71,Roombix Company Limited,Mid-Market,pro,,,true,,V,,,,V,,,,,,V,,,,,,,,,,,,V,,,,,4
6911fd1e550760fa8fef6f06,PMI Orlando,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,1
614f3a3a96a3a1002ffb58df,PBD Living,Mid-Market,pro,,,true,V,,,V,,,V,,,,,,,,,,,,,,,,,,,,,,3
699f438e5042ea2535f13f10,Platinum Corporate Housing LLC,Mid-Market,pro,,,true,,V,,,,V,,,,,,,,,,,V,V,V,,,,,,,,,,5
