Account ID,Account Name,Segment,Package,CSM,Interview Date,Active today,Amenity gap detector,Calendar conflict detector,Check-in readiness,Commitment keeper,Daily task coverage board,Inquiry expiry manager,Maintenance tracker,Reservation duplicate detector,Reservation handoff brief,Reservation readiness surfacer,Review to task dispatcher,Risky reservation detector,Stay status reconciler,Team access review,Translation gap filler,Weekly Operation Brief,Negative review challenger,Review response drafter,Saved replies optimizer,Checkout balance collection,Fee configuration detector,Security deposit extender,Tax Configuration Audit,Unpaid reservation tracker,Advance deposit checker,Monthly cancelled reservations,Owner payment details collector,Airbnb quality detector,# Active
Accounts activated (of 83),,,,,,,37,35,23,40,20,26,20,21,18,5,25,43,13,16,26,37,51,42,28,6,18,11,19,43,12,17,14,23,689
68017d44259cbcdbc6e8c5c3,Lark Mountain Properties,Mid-Market,pro,,,true,V,V,,V,,,,,,,,V,,,V,V,V,V,V,,,,V,V,,V,,,12
64c8ce07e81a04c3247ccaf8,KIPPAL,SMB,pro,,,true,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,1
69bd58ec4a4da1c92d8bc402,VOL HOSTING,SME,pro,,,true,,,V,,,,,,,,,,,,,,,,,,,,,V,,,,,2
68c99f2a467ac68da2e58296,Sea Coast Rentals,SME,pro,,,true,,,,,,,V,,,,,,V,V,,V,,,V,,V,,V,V,,V,,,9
6786c86d1e8afb8c9a78be4b,Lanui Realty,Mid-Market,pro,,,true,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,,,,V,V,,,,,20
6542c4e210675435b7246225,Bungalow Solutions LLC,SME,pro,,,true,V,V,V,V,V,,,,,,,V,,,V,V,V,V,V,,V,,,V,V,V,,,15
68b8480d5ae37cf73089f796,LOKA,SMB,pro,,,true,,,,V,,,,,,,,V,,,,,,,,,,,,,,,,,2
674c89854205b64ae791db2d,Apex Short Term Stays,SME,pro,,,true,,V,,,V,,V,,,,V,,,,,V,V,V,,,,,,V,,,,,8
678923670560667fb69d98b7,Snowbasin Vacation Rentals and Powder Mountain Vacation Rentals,Mid-Market,pro,,,true,V,,V,V,,V,,V,,,,V,,,,,V,,,,,,,V,,,,,8
66fc5dfaf36f17e56f3fe426,PMI Breck,Mid-Market,pro,,,true,V,,V,,,V,,,,,V,V,V,,V,V,V,V,V,,V,,,V,,V,V,,15
67698db4309e10ff8a2b748a,Easilets Limited,Mid-Market,pro,,,true,V,V,,V,,V,,,V,,,V,,V,,,V,,V,,,,,,,,,,9
67743591892a35ba99f8ca84,Fresh Start Property Management,SMB,pro,,,true,V,,V,,V,,V,,,,,,,,,V,V,,,,,,,,,,V,,7
69f17a1b4b8dbace6132d6d9,Mingo Canas,SMB,pro,,,true,V,V,V,V,,V,,V,,,,V,,,V,,V,,V,,V,V,,V,,,V,,14
691ef73751ad620fe8272c78,"El Pampero Investimentos, Lda",SMB,pro,,,true,,,,,,,,,,,,V,,,,V,,,,,,,,V,,,,,3
696e0505b558d35d8ff05dbe,Salt & City Stays,Mid-Market,pro,,,true,V,,,V,,,,,V,,,,,,,,V,,,,,,,,,,,V,5
6811a82943c69c248b3fcb2b,WowStay,Mid-Market,pro,,,true,,,,,,V,,,,,,,,,,,,,,,,,,V,,,,,2
672a28cdbe4aa729794a5910,Stay in Iceland,SMB,pro,,,true,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5ca75ba6e2a6e700216d3ef2,Seven Living,Mid-Market,pro,,,true,V,,V,V,V,,,,V,,,V,,,,V,V,,V,,,,,V,,,,,10
68d6e9bc455d7fda436118d3,BUHO Property,SMB,pro,,,true,V,V,,V,V,,,V,,,V,V,V,V,V,V,V,V,,,V,,,V,,V,,,16
68d6d384455d7fda436118ca,Scenic Stays,Enterprise,enterprise,,,true,V,V,OFF,V,,OFF,,V,,,,V,,,V,,V,,,,V,,,V,V,V,,,11
644296ae8062130039e4a8f9,Virtual Homes Realty,Mid-Market,pro,,,true,V,V,V,V,V,V,V,V,,,V,V,,,V,V,V,V,V,,V,,,V,,V,,,18
614f3a3a96a3a1002ffb58df,PBD Living,Mid-Market,pro,,,true,,,,V,,,V,,,,,,,,,,,,,,,,,,,,,,2
655346f4ac25e87d1056b160,Stay Homy,Mid-Market,pro,,,true,,,V,,,,,,,,,V,,V,V,V,V,,,,,,,,,,,,6
698643d7c43dd1a712877d97,Wilder Waters Vacation Rental Management Inc,Mid-Market,pro,,,true,V,V,V,,V,,V,,,,,,,,,V,,V,,,,,,,,,,,7
67f01c8f48a9aa094fae1a6a,William Andrade,SMB,pro,,,true,V,V,V,V,V,,V,,V,,V,V,V,,,V,V,V,V,V,V,V,V,V,V,V,V,V,23
694ad57b5746ac96c0eb4e07,Residentas PT,Mid-Market,pro,,,true,,,,,,,,,,,,,,,V,,V,V,V,,,,,V,,,,,5
5d6d5ce1229c8c0020c217ae,Horseshoe Bay Living,SME,pro,Cameron Gray,,true,V,,,V,,,,,,V,V,V,,,,V,V,,,,,,V,,,,,,8
65e11cec79b43b53e1af5c81,Synergy Rental Group,Mid-Market,pro,,,true,,,,,,,,,,,,,V,,,,,,,,V,,,,,,,,2
699699720e798385617b4d65,Whistler Breaks Vacation Rentals Ltd,Mid-Market,pro,,,true,,,,,,,,V,,,,,,,,,,,,,,,,,V,V,,,3
6994ba6006158b9341e7e0a2,Marisol & Co. Hospitality Group,Mid-Market,pro,,,true,,,,,,,V,,,,,,,,,,V,V,,,,,V,,,,V,,5
664cd7b17ece3a46c68c5b09,Bee Cave Mgmt LLC,Mid-Market,pro,,,true,V,V,V,V,V,V,V,V,V,,V,V,V,V,,V,V,V,V,,V,V,V,V,V,V,V,,24
69cc4d66a9f6b32e370fe8f5,GEKO S.A.C.,Mid-Market,pro,,,true,V,,,,,,,,,,,,,,,,,,V,,,,,,,,,,2
662c7b0c713d3ca356f497cb,Freedom Vacation Rentals,Mid-Market,pro,,,true,,V,OFF,V,V,,V,V,V,,,,,V,V,V,V,V,V,,,,,V,V,,,,14
63d7edf439e935004cc1d253,Stars Vacation Homes,SME,pro,,,true,,V,,,,,V,,,,,,,,,,V,,,,,,,,,,,,3
6691731ff6abdb39ff57bbc6,DreamStay Vacation Rentals,Mid-Market,pro,,,true,V,V,,V,V,V,V,V,,,,V,,V,,,V,V,,,,,,,,V,,,12
6361401a09cd6a004c376443,APEK Rentals,Enterprise,pro,,,true,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,,25
633ce6133627590032806db7,Premier Vacation Stays,Mid-Market,pro,,,true,,,,,,V,,V,,,,V,V,,,V,V,V,,,,,V,,,,,,8
67b793cf40e1ed4a6dae237e,South Padre Island Trips,Mid-Market,pro,,,true,V,V,V,V,V,,,V,,,,V,,V,V,V,V,,,,V,,,V,V,,,V,15
697cf07e97c71aa6720b0e9b,Asesoria e Inversiones Riverso Andes SPA,Mid-Market,pro,,,true,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
675088ce3780f3a8abe636d7,SMART HOST VACATION HOME RENTAL L.L.C.,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,V,V,V,,,,3
6639b053af65b5a61d2cec4c,Clifton Partners Property,Mid-Market,pro,,,true,V,,OFF,V,V,V,,V,V,,V,V,,V,V,V,V,V,V,V,,V,V,V,,,V,V,20
697a2cee97c71aa6720b0d44,Mountain Laurel Chalets,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,1
66d07cd5f48715e4ecea2688,Vivendos Homes SL,SMB,pro,,,true,V,V,,,,,,V,,,V,V,,V,,,V,V,V,,,,,,,,,V,10
693fe0317e1715aa98c354f6,Ilic Corporation,SMB,pro,,,true,V,V,,,,,,,,,,V,,,,,V,,,,,,,,,,,V,5
68cbee25467ac68da2e582a7,Nordic Guest AB,SMB,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,1
69e250520f8cce78dc112886,Vacant Nests,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,V,V,,,,,,,V,,,,V,4
63f77f4e7e251b0030c1464a,Cloud9,Mid-Market,pro,,,true,V,V,V,V,,V,,,,,,V,,V,V,V,V,V,V,,V,V,,,,V,,V,16
68dbf54b455d7fda43611a1a,Golden Isles Retreats,Mid-Market,pro,,,true,,,,V,,V,,,,,,V,,,,V,V,V,V,,,,V,V,,,,V,10
65351c644892a1c2b05f9e34,AIR MGMT,SME,pro,Benjamin Lockard,,true,V,V,,V,,V,V,,,,V,V,V,,,V,V,V,,,,,,V,,,,V,13
6840ab56ca0d576ff1aa1e3a,UAB Domillion,Mid-Market,pro,,,true,,,,,,,,,,,,,,,V,V,,,,,,,,V,,,,,3
65fbdfd0d916089814834489,Praia Villas,Mid-Market,pro,,,true,,V,,,,,,,,,,,,,,,,,,,,,,,,,,V,2
660583ed73200f683ecf3134,OutpostX,Mid-Market,pro,,,true,,V,V,V,,,,,,,,,V,,V,V,,,,,,,,V,,,,,7
685065549bf7f8c07ec24d1f,Coast to Coast Connections,SMB,pro,,,true,,V,V,V,V,V,V,,V,,V,V,,,V,V,V,V,,V,,,V,V,V,V,V,V,20
6893952b8fa2976c485f6a35,Full Circle Property,SMB,pro,,,true,V,,OFF,V,,,,,V,,,,,,,V,V,V,,V,,,V,V,,,V,V,11
6a270d0f4b2eed6c34919d5f,Luxury Getaways,Mid-Market,pro,,,true,V,V,V,V,V,V,,V,,,,V,,,V,V,V,V,V,,V,,V,V,,,V,V,18
6862ebb9b12c774daba25021,Royal Vista Vacations Homes Co. LLC,Mid-Market,pro,,,true,,,V,V,,,,,,,,,,,,,,,,,,,,,,,,,2
68890ecea14c863e5df1290d,KSN Real Estate,SMB,pro,,,true,V,V,V,V,,,,V,V,,,,,V,,,V,V,V,V,V,,,V,V,,V,V,16
6862e08eb12c774daba2501a,LS Living Solutions GmbH,SMB,pro,Mattia Peressini,,true,V,,V,V,,V,,,,V,,V,,,V,,V,V,,,,,,V,,,,V,11
6350a5240e693e0030bf2c4e,Peachy Properties,Mid-Market,pro,,,true,,,,V,,,,,,,,V,,,,,V,,V,,,V,,,,V,,V,7
66885058f6abdb39ff57b9a9,Nestoria Estates Inc.,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,1
62b337033513aa00347a2410,Jeff Nisius,Mid-Market,pro,,,true,V,V,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,,V,,V,24
668f4d5b3a1924cbf20ceb9b,NextGen Furnished Rentals LLC,Mid-Market,pro,Francine Boateng,,true,V,,,V,,V,V,V,V,,V,V,,,,V,V,V,V,,V,,V,,,,,V,15
